"province","district","ward","id","code","name","address","email","latitude","longitude"
"Quảng Ninh","Thành phố Móng Cái","Phường Trần Phú",1119,"1119","Bưu Cục 29 Ngô Gia Tự-Móng Cái-Quảng Ninh 01","Phường Trần Phú-Thành Phố Móng Cái-Tỉnh Quảng Ninh","",21.5332708,107.9690091
"Quảng Ngãi","Huyện Mộ Đức","Xã Đức Lân",1413,"1413","Bưu Cục Mộ Đức-Quảng Ngãi","Quốc Lộ 1A, KDC 16, Thôn Thạch Trụ Tây, Xã Đức Lân, Huyện Mộ Đức, Tỉnh Quảng Ngãi","",14.892818,108.9191736
"Sơn La","Huyện Mộc Châu","Thị trấn Mộc Châu",1411,"1411","Bưu Cục Mộc Châu-Sơn La","Số nhà 141,Tiểu khu 10, thị trân Mộc Châu, huyện Mộc Châu, tỉnh Sơn La","",20.8493581,104.6277588
"Hà Nam","Thành phố Phủ Lý","Phường Lê Hồng Phong",1139,"1139","Bưu Cục 101B Lý Thái Tổ-Phủ Lý-Hà Nam","Kho 101 lý thái tổ, phường Lê Hồng Phong, thành phố Phủ Lý, Hà Nam (131 Lý Thái Tổ, Tồ 11)","",20.5323852,105.9048206
"Kiên Giang","Huyện đảo Phú Quốc","Thị trấn Dương Đông",1330,"1330","Bưu Cục 56 Lý Thường Kiệt-Đảo Phú Quốc-Kiên Giang","Bưu Cục 56 Lý Thường Kiệt-Đảo Phú Quốc-Kiên Giang","",21.12834,105.76744
"Phú Thọ","Thị xã Phú Thọ","Xã Hà Lộc",1386,"1386","Bưu Cục Hà Lộc-TP.Phú Thọ","Khu 5, xã Hà Lộc, thị xã Phú Thọ, tỉnh Phú Thọ","",21.4245197,105.2289776
"Thừa Thiên - Huế","Huyện Phú Vang","Thị trấn Thuận An",1495,"1495","Bưu Cục 77 Thái Dương-Phú Vang-Huế","3/77 Thai Dương, thị trấn Thuận An, Phú Vang, Thừa Thiên Huế","",16.5619128,107.6430324
"","","",1286,"1286","Bưu Cục Phú Xuyên-HN","Xóm Đoài, Tiểu khu Phú Mỹ, Thị trấn Phú Xuyên, Huyện Phú Xuyên, TP. Hà Nội","",20.7520259,105.9121781
"","","",1276,"1276","Bưu Cục Phúc Thọ-HN","Thôn 6, Xã Vân Nam, Huyện Phúc Thọ, Hà Nội","",21.138812,105.614185
"Quảng Ngãi","Thành phố Quảng Ngãi","Phường Nghĩa Lộ",1151,"1151","Bưu Cục 340 Nguyễn Công Phương-TP.Quảng Ngãi","340 Nguyễn Công Phương, Phường Nghĩa Lộ, Thành phố Quảng Ngãi,Quảng Ngãi (342 Nguyễn Công Phương)","",15.1121176,108.7930711
"Hồ Chí Minh","Quận 12","Phường Hiệp Thành",1267,"1267","Bưu Cục 55 Trần Thị Do-Q.12-HCM","55 Trần Thị Do, Khu Phố 6, Phường Hiệp Thành, Quận 12, TP.HCM","",10.8727572,106.6403971
"Hồ Chí Minh","Quận 2","Phường Cát Lái",1394,"1394","Bưu Cục 29A Đường Số 5-Q.2-HCM","29A đường số 5, KP2, Phường cát lái, Quận 2, Hồ Chí Minh","",10.7751905,106.770249
"Hồ Chí Minh","Quận 10","Phường 12",2273,"2273","Bưu Cục 16A Lê Hồng Phong-Q.10-HCM 01","16a Lê Hồng Phong Phường 12 Quận 10 ( Kho 694m2) , Hồ Chí Minh (Kho giao nhận Quận 1_ Hồ Chí Minh)","",-10.7695203,-106.6635506
"Hồ Chí Minh","Quận 6","Phường 12",2274,"2274","Kho giao nhận Quận 6_Hồ Chí Minh","Quận 6 - Hồ Chí Minh","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1326,"SO_5_DUONG_8","Bưu Cục 05 Đường 8-Q.9-HCM","số 8 Nguyễn Văn Tăng Phường Long Thạnh Mỹ Quận 9 Tp Hồ Chí Minh","",10.8474,106.8148
"Bắc Ninh","Huyện Quế Võ","Xã Phượng Mao",1422,"1422","Bưu Cục Quế Võ-Bắc Ninh","Thửa đất số 17, tờ bản đồ số 19, Thôn Mao Trung, Xã Phượng Mao, Huyện Quế Võ, tinh Bắc Ninh","",21.1628924,106.1469592
"","","",1285,"1285","Bưu cục Quốc Oai-HN","Đội 5 Thạch Thán , Quốc Oai , Hà Nội (Xóm 6)","",20.987643,105.635981
"Bắc Giang","Thành phố Bắc Giang","Xã Tân Tiến",1237,"1237","Big C Bắc Giang","Xã Tân Tiến, Thành phố Bắc Giang, Tỉnh Bắc Giang","",0.0002125264,0.0010621986
"Khánh Hòa","Huyện Vạn Ninh","Thị trấn Vạn Giã",1235,"1235","Big C Nha Trang","Lô số 4, đường 19/5, Khu Đô Thị Vĩnh Điềm Trung, Xã Vĩnh Hiệp, Thành phố Nha","",10.769521,106.663541
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1078,"1078","Big C Phú Thạnh","212 Thoại Ngọc Hầu, Phú Thạnh, Tân Phú","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1087,"1087","Big C Quận 2","cantavil quan 2, ho chi minh","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1200,"1200","Big C Quy Nhơn","Khu đô thị xanh vũng chua, Ghềnh Ráng, TP Quy Nhơn","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1311,"1311","Big C Tân Hiệp","Ngã Tư Tân Phong, đường Nguyễn Ái Quốc, P Tân Hiệp - TP. Biên Hòa, Đồng Nai.","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1061,"1061","Big C To Hien Thanh","268 To Hien Thanh, Quan 10","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1154,"1154","Big C Thanh Hoá","Xã Đông Hải - Thành phố Thanh Hoá - Tỉnh Thanh Hoá","",1,1
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1091,"1091","Big C The Garden","Tầng hầm B1; TTTM The Garden; Đường Mễ Trì; Mỹ Đình; Từ Liêm; Hà Nội. ","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1068,"1068","Big C Thủ Dầu Một","100 Thu Dau Mot, Binh Duong","",0,0
"Hồ Chí Minh","Quận Tân Phú","Phường Tây Thạnh",1079,"1079","Big C Trường Chinh","1/1 Truong Chinh, Tay Thanh, Tan Phu","",10.806719,106.634396
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1158,"1158","Big C Việt Trì","Đường Nguyễn Tất Thành, Phường Thanh Miếu, TP Việt Trì, Phú Thọ","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1140,"1140","Big C Vinh","Số 2, đường Quang Trung, TP.Vinh, Tỉnh Nghệ An","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1093,"1093","Big C Vĩnh Yên","Khu TTTM Vĩnh Phúc, Phường Khai Quang, TP.Vĩnh Yên, Vĩnh Phúc. ","",0,0
"Bình Định","Thành phố Quy Nhơn","Phường Nhơn Bình",1185,"1185","Bình Định","Nhơn Bình, Tp. Qui Nhơn, Bình Định, Việt Nam","",13.7908974,109.2038649
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1193,"1193","Bình Thuận","Bình thuận","",0,0
"Đồng Nai","Huyện Tân Phú","Thị trấn Tân Phú",1173,"1173","Cà Mau","Cà Mau","",0.0001079641,10.80795
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1161,"1161","Cao Bằng","Cao Bằng","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2228,"2228","CTO-VinMart+-108A/3Duong3/2"," Khu Vực I, Quốc Lộ 1,( 108A/3, Đường 3 tháng 2 cũ) Phường An Bình Quận Ninh Kiều, TP. Cần Thơ","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2234,"2234","CTO-VinMart+-120CachMangThang8","120 Cách Mạng Tháng 8, Phường Bùi Hữu Nghĩa, Quận Bình Thủy, TP Cần Thơ","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2218,"2218","CTO-VinMart+-142TranVietChau","142 Trần Việt Châu, Phường An Hòa , Quận Ninh Kiều , thành phố Cần Thơ","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2200,"2200","CTO-VinMart+-163/D1NguyenVanCu","163/D1 NGUYỄN VĂN CỪ, AN KHÁNH, NINH KIỂU, CẦN THƠ","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2192,"2192","CTO-VinMart+-183BuiHuuNghia","183 Đường Bùi Hữu Nghĩa, Khu vực 3, Phường Bình Thủy, Quận Bình Thủy, TP. Cần Thơ","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2240,"2240","CTO-VinMart+-1BDinhTienHoang","1B Đinh Tiên Hoàng, Phường Thới Bình, Quận Ninh Kiều, TP Cần Thơ","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2254,"2254","CTO-VinMart+-216Duong3/2","216 Đường 3/2, Phường Hưng Lợi, Cần Thơ","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2175,"2175","CTO-VinMart+-228MTranHungDao","228M Trần Hưng Đạo, Phường An Nghiệp, Quận Ninh Kiều, TP. Cần Thơ","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2185,"2185","CTO-VinMart+-45XoVietNgheTinh ","","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2155,"2155","DNI-VinMart+-93/76BTanPhong","93/76B, KP.8,P.Tân Phong Biên Hòa, Đồng Nai","",10.79641,106.6644
"Đồng Nai","Thành phố Biên Hòa","Phường An Bình",2160,"2160","DNI-VinMart+-KhudancuAnBinh","20A12-21A12 Khu dân cư An Bình, Phường An Bình, TP Biên Hòa, tỉnh Đồng Nai","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2215,"2215","DNG-VinMart+-05TruongChiCuong","05 Trương Chí Cương, Phường Hòa Cường Nam, Quận Hải Châu, TP Đà Nẵng","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2180,"2180","DNG-VinMart+-121CuChinhLan","121 Cù Chính Lan, Phường Hòa Khê, Quận Thanh Khuê, TP Đà Nẵng","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2242,"2242","DNG-VinMart+-126VanTienDung","126 Văn Tiến Dũng, Tổ Dân Phố 53, Phường Hòa Xuân, Quận Cẩm Lệ, TP.Đà Nẵng","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2188,"2188","DNG-VinMart+-131-133LyThaiTong","131-133 Lý Thái Tông, Phường Hòa Minh, Quận Liên Chiểu, Thành Phố Đà Nẵng","",10.79641,106.6644
"Đà Nẵng","Quận Ngũ Hành Sơn","Phường Mỹ An",2233,"2233","DNG-VinMart+-131LeVanHien","131 Lê Văn Hiến, Phường Bắc Mỹ An, Quận Ngũ Hành Sơn, Tp. Đà Nẵng","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2221,"2221","DNG-VinMart+-485TranCaoVan","Số 485 Trần Cao Vân, tổ 18, phường Xuân Hà, quận Thanh Khê, TP. Đà Nẵng","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2229,"2229","DNG-VinMart+-59NguyenVanThoai","59 Nguyễn Văn Thoại, phường An Hải Đông, quận Sơn Trà, thành phố Đà Nẵng","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2189,"2189","DNG-VinMart+-61NguyenDuyHieu","61 Nguyễn Duy Hiệu, Phường An Hải Đông, Quận Sơn Trà, TP Đà Nẵng","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2261,"2261","DNG-VinMart+-71LeHongPhong-DN","Số 7 Lê Hồng Phòng, Phường Phước Ninh, Q. Hải Châu, TP. Đà Nẵng","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2231,"2231","DNG-VinMart+-76LeThanhNghi","76 Lê Thanh Nghị, phường Hòa Cường Bắc, Hải Châu, Đà Nẵng","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2226,"2226","DNG-VinMart+-80NguHanhSon","80 đường Ngũ Hành Sơn, phường Mỹ An, quận Ngũ Hành Sơn, thành phố Đà Nẵng","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2245,"2245","DNG-VinMart+-8ChuHuyMan","8 Chu Huy Mân, Phường Mân Thái, Quận Sơn Trà, Tp. Đà Nẵng ","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2241,"2241","DNG-VinMart+-904TonDucThang","904 Tôn Đức Thắng, tổ 47, Phường Hòa Khánh Bắc, Quận Liên Chiểu, TP. Đà Nẵng","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2191,"2191","DNG-VinMart+-Lo02B1.8VungThung1","Lô 02B1.8 Đường Vũng Thùng 1, Khu Đô Thị Vịnh Mân Quang, Phường Nại Hiên Đông, Quận Sơn Trà, TP Đà Nẵng","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2176,"2176","DNG-VinMart+-LoB-3,KDCso5","DNG-VinMart+-LoB-3,KDCso5","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2247,"2247","DNG-VinMart+-NguyenXuanNhi","A2-7 Khu dân cư nút giao thông Tuyên Sơn, đường 2/9, P. Hòa Cường Nam, Q. Hải Châu, Tp. Đà Nẵng","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2213,"2213","DNG-VinMart+-So88-90HuyenTranCongChua","Số 88 - 90 Huyền Trân Công Chúa, Phường Hoà Hải, Quận Ngũ Hành Sơn, TP Đà Nẵng","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2235,"2235","DNG-VinMart+-SunHome3","Khu thương mại tầng 1, Blok 3 tòa nhà nhà Sun Home 3, khu dân cư An Hòa, phường Nại Hiên Đông, quận Sơn Trà, thành phố Đà Nẵng","",10.79641,106.6644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1146,"1146","Đắc Nông","Đắc Nông","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1256,"1256","Đắk Lắk","Đắk Lắk","",12.66619,108.03825
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1205,"1205","Điện Biên","","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1062,"1062","Đồng Nai","","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1196,"1196","Đồng Tháp","Đồng Tháp","",0,0
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1255,"1255","Gia Lai","Gia lai","",13.80789,108.10938
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1281,"1281","H.Đông Anh_HN_Deleted","đông anh","",0.0002112453,0.0010582714
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1242,"TrangBom","H.Trảng Bom_ĐN_Hủy","Trảng Bom","",0,0
"Hồ Chí Minh","Quận Gò Vấp","Phường 14",1420,"1420","Bưu Cục 1284 Quang Trung-Q.Gò Vấp-HCM","1284 Quang Trung, p14, Gò Vấp","",10.844834,106.639579
"Hồ Chí Minh","Quận 6","Phường 10",1418,"1418","Bưu Cục 119 Nguyễn Văn Luông-Q.6-HCM","119 Nguyễn Văn Luông, Phường 10, Quận 6, TP.HCM","tienpc1@ghn.vn",10.7382954,106.6334555
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1469,"1469","HCM-CircleK-44CuuLong","44 Cửu Long Cư Xá Bắc Hải Quận 10 thành phố Hồ Chí Minh.","",0.0001079641,0.001066644
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1523,"HN-Station-125OChoDua","HN Bưu cục 125 Ô Chợ Dừa - Hà Nội","","",0.0001079641,0.001066644
"","","",1353,"1353","Bưu Cục 188 Khương Đình-Q.Thanh Xuân-HN","Số 188 Khương Đình (Tổ 1 Cụm 1), Phường Hạ ĐÌnh, Quận Thanh Xuân, TP. Hà Nội","duyendp@ghn.vn",20.993634,105.81394
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1307,"HoangMaiHN","HN-Quận Hoàng Mai","26 ngõ 41, phường Tương Mai, quận Hoàng Mai, thành phố Hà Nội","",20.9909619,105.8408954
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",1054,"ThanhXuanHub","HN-Quận Thanh Xuân","129T Nguyễn Trãi, quận Thanh Xuân, thành phố Hà Nội","",21.002699,105.8088444
"Cao Bằng","Huyện Bảo Lâm","Xã Đức Hạnh",2094,"KHA-VinMart+-721Duong2Thang4","KHA-VinMart+-721Duong2Thang4","721 Đường 2 Tháng 4, Phương Vĩnh Thọ TP. Nha Trang","",10.79641,106.6644
"","","",1272,"1272","Bưu Cục 51 Tây Đằng-Ba Vì-HN","51 Đường Tây Đằng, Thị trấn Tây Đằng, Huyện Ba Vì, Hà Nội","",21.198028,105.420892
"Hà Giang","Huyện Bắc Quang","Thị trấn Việt Quang",1508,"1508","Bưu Cục Việt Quang-Hà Giang 01","Tổ 2, Thị trấn Việt Quang, Huyện Bắc Quang, Tỉnh Hà Giang","",22.4162585,104.8155139
"Bình Dương","Thị xã Bến Cát","Phường Mỹ Phước",1247,"1247","Bưu Cục Bến Cát-Bình Dương","Ô số 32, Lô NP2,Tờ bản đồ số 1, KTĐC Mỹ Phước II,Mỹ Phước, Bến Cát, Bình Dương (ĐT-TĐC-MPII)","",11.148283,106.611646
"Đắk Lắk","Thị xã Buôn Hồ","Phường An Lạc",1382,"1382","Bưu Cục 685 Hùng Vương-Buôn Hồ-Đắk Lắk","685 Hùng Vương Phường An Lạc Thị Xã Buôn Hồ Tỉnh Đăk Lắk","",12.909116,108.266274
"Đồng Nai","Thành phố Long Khánh","Xã Hàng Gòn",1507,"1507","Bưu Cục Cẩm Mỹ-Đồng Nai","21 , Ấp Tân Phong , Xã Hàng Gòn , Thị xã Long Khánh , Đồng Nai (Tân Phong 2)","",10.8918887,107.2177167
"Quảng Ninh","Thành phố Cẩm Phả","Phường Cẩm Thành",1218,"1218","Bưu cục Cẩm Thành-Cẩm Phả-Quảng Ninh 01","Tổ 4, khu 8, phường Cẩm Thành, TP. Cẩm Phả, tỉnh Quảng Ninh","",20.9999849,107.2805133
"Hồ Chí Minh","Huyện Cần Giờ","Xã Tam Thôn Hiệp",1302,"1302","Bưu Cục Cần Giờ-HCM","202 Ấp An Hòa Xã Tam Thôn Hiệp H Cần Giờ, TP.Hồ Chí Minh","",10.5878863,106.851401
"Cần Thơ","Quận Ninh Kiều","Phường An Khánh",1085,"1085","Bưu Cục An Khánh-Q.Ninh Kiều-Cần Thơ","Số 56-58-60 đường B19, KDC 91B, phường An Khánh, quận Ninh Kiều, TP Cần Thơ","",10.025444,105.756056
"Bà Rịa - Vũng Tàu","Huyện đảo Côn Đảo","Côn Đảo",1310,"1310","Bưu Cục Côn Đảo-Bà Rịa Vũng Tàu","Huỳnh Thúc Kháng, KDC số 3, huyện Côn Đảo, BR,VT","",8.6900103,106.5968871
"Hồ Chí Minh","Huyện Củ Chi","Xã Trung Lập Hạ",1290,"1290","Bưu Cục 242 Tỉnh Lộ 2-Củ Chi-HCM","242 Tỉnh Lộ 2, Ấp Xóm Mới, Xã Trung Lập Hạ, Củ Chi, Thành phố.HCM","tunglm@ghn.vn",10.7695213,106.6635511
"Đồng Nai","Huyện Định Quán","Thị trấn Định Quán",1321,"1321","Bưu Cục Định Quán-Đồng Nai","1","",11.207555,107.352705
"Nghệ An","Huyện Đô Lương","Xã Tràng Sơn",1412,"1412","Bưu Cục Đô Lương-Nghệ An","Xóm 12, Xã Tràng Sơn, Huyện Đô Lương, Tỉnh Nghệ An","",18.92406,105.30578
"","","",1264,"1264","Bưu Cục Đông Anh-HN","vân nội, Thôn phương trạch, Xã vĩnh ngọc, Huyện đông anh, hà nội","",21.1128134,105.8175214
"","","",1371,"1371","Bưu Cục 187 Giảng Võ-Q.Đống Đa-HN 01","187 Giảng Võ, Phường Cát Linh, Quận Đống Đa, Hà Nội","",21.025919,105.823669
"Quảng Trị","Thành phố Đông Hà","Phường 5",1128,"1128","Bưu Cục 24 Âu Cơ-Đông Hà-Quảng Trị","174 khu phố 9, phường 5, tp Đông Hà, tỉnh Quảng Trị","",16.802262,107.099185
"Quảng Bình","Thành phố Đồng Hới","Phường Nam Lý",1126,"1126","Bưu Cục 01 Tây Sơn-Đồng Hới-Quảng Bình","Phòng 105, tầng 1, chung cư Trương Nhi, đường Tây Sơn, phường Nam Lý, thành phố Đồng Hới, tỉnh Quảng Bình","",17.4665,106.605489
"Thái Bình","Huyện Đông Hưng","Thị trấn Đông Hưng",1515,"1515","Bưu Cục Đông Hưng-Thái Bình","khu công nghiệp đông la đông hưng thái bình","",20.5604181,106.3573092
"Quảng Ninh","Huyện Đông Triều","Phường Mạo Khê",1369,"1369","Bưu Cục Đông Triều-Quảng Ninh","Số 8B đường Vườn Thông, Tổ 1 khu Vĩnh Thông, Phường Mạo Khê, thị xã Đông Triều, tỉnh Quảng Ninh","",21.0608863,106.5967026
"Bình Phước","Thị xã Đồng Xoài","Phường Tân Bình",1143,"1143","Bưu Cục 889 Quốc Lộ 14-Đồng Xoài-Bình Phước","889 quốc lộ 14 phường Tân Bình TX Đồng Xoài tỉnh Bình Phước","",11.530314,106.87725
"Long An","Huyện Đức Hòa","Xã Đức Hòa Thượng",1366,"1366","Bưu Cục Đức Hòa-Long An","Ấp Bình Hữu 2, Xã Đức Hòa Thượng, Huyện Đức Hòa, Long An","",10.837722,106.466395
"Tiền Giang","Thị xã Gò Công","Phường 2",1518,"1518","Bưu Cục Gò Công-Tiền Giang","01 Lưu Thị Dung, Khóm 1, Phường 2, Thị xã Gò Công, Tỉnh Tiền Giang","",21.12835,105.76784
"Tây Ninh","Huyện Bến Cầu","Thị trấn Bến Cầu",1360,"1360","Bưu Cục Bến Cầu-Tây Ninh","361 Khu phố 1, Thị Trấn Bến Cầu, Huyện Bến Cầu, Tây Ninh","",11.0973839,106.1832695
"Hồ Chí Minh","Quận Gò Vấp","Phường 10",2276,"2276","Bưu Cục 1135 Phan Văn Trị-Q.Gò Vấp-HCM","1135 Phan Văn Trị P.10, Q.Gò Vấp","",10.832417,106.673278
"","","",1261,"1261","Bưu cục Trâu Quỳ-Gia Lâm-HN","Lô đất B3-21, Khu đấu giá 31Ha, TT Trâu Qùy, Huyện Gia Lâm, TP Hà Nội.","",10.769507008750102,106.66603043974534
"Đắk Nông","Thị xã Gia Nghĩa","Phường Nghĩa Tân",1147,"1147","Bưu Cục 149 Đường 23/3-Gia Nghĩa-Đắk Nông","Số nhà 149 đường 233 Phường Nghĩa Tân_Gia Nghĩa_Đăk Nông","quangthang2995@gmail.com",12.001109,107.680892
"Bạc Liêu","Huyện Giá Rai","Phường Hộ Phòng",1392,"1392","Bưu Cục 99 Quốc Lộ 1A-Giá Rai-Bạc Liêu","99 Quốc Lộ 1a, Khóm 5, phường Hộ Phòng, Thị xã Giá Rai, Thành phố. Bạc Liêu","",9.233365,105.439585
"","","",1303,"1303","Bưu Cục 23 Ngõ 164 Ỷ La-Q.Hà Đông-HN","Sn 23, Ngõ 164, Ỷ La, Dương Nội, Hà Đông, Hà Nội (KDC Thắng Lợi)","",20.972866,105.74434
"Hà Giang","Thành phố Hà Giang","Phường Nguyễn Trãi",1114,"1114","Bưu Cục 102A Nguyễn Trãi-TP.Hà Giang","Số 102a Đường Nguyễn Trãi, Phường Nguyễn Trãi , Thành phố Hà Giang","",10.7695274,106.6636276
"Quảng Ninh","Thành phố Hạ Long","Phường Cao Xanh",1120,"1120","Bưu Cục Hạ Long-Quảng Ninh","Ô số 21 Lô A9 KĐT mới Cao Xanh, Hà Khánh, Hạ Long, Quảng Ninh","",20.9693553,107.0781016
"Hà Tĩnh","Thành phố Hà Tĩnh","Xã Thạch Trung",1124,"1124","Bưu Cục 509 Trần Phú-TP.Hà Tĩnh","Số 67 , Tân Trung , Xã Thạch Trung , Thành phố Hà Tĩnh , Tỉnh Hà Tĩnh","vuongnm@ghn.vn",10.7694912,106.6635642
"Hòa Bình","Thành phố Hòa Bình","Phường Tân Hòa",1210,"1210","Bưu Cục 224 Phùng Hưng-TP.Hòa Bình 01","224 Phùng Hưng, Tổ 8, Phường Tân Hòa, Thành Phố Hòa Bình, Tỉnh hòa Bình","",20.8418081,105.3347434
"Tây Ninh","Huyện Hòa Thành","Xã Long Thành Trung",1514,"1514","Bưu Cục 393 Tôn Đức Thắng-Hòa Thành-Tây Ninh","393 Tôn Đức Thắng Ấp Long Thành Xã Long thành Trung Huyện Hòa Thành Tỉnh tây Ninh","",11.265901,106.131211
"","","",1274,"1274","Bưu Cục Hoài Đức-HN","Khu đất đấu giá thôn Nấm , Yên Sở , Hoài Đức , Hà Nội","",21.039683,105.682166
"Bình Định","Huyện Hoài Nhơn","Xã Hoài Tân",1434,"1434","Bưu Cục Hoài Nhơn-Bình Định","Dốc Võng Quốc Lộ 1A, An Dưỡng 2, Hoài Tân, Hoài Nhơn, Bình Định","",14.480658,109.03351
"Hồ Chí Minh","Huyện Hóc Môn","Xã Thới Tam Thôn",1325,"1325","Bưu Cục Hóc Môn-HCM","ấp Tam Đông, xã Thới Tam Thôn, huyện Hóc Môn","tunglm@ghn.vn",10.8850904,106.6092049
"Quảng Nam","Thành phố Hội An","Phường Tân An",1153,"1153","Bưu Cục 08 Phan Bá Phiến-Hội An-Quảng Nam","08 Phan Bá Phiến, phường Tân An, Thành phố Hội An, Quảng Nam","",15.887864,108.324629
"Hà Tĩnh","Thị xã Hồng Lĩnh","Phường Đậu Liêu",1385,"1385","Bưu Cục 12 Ngõ 340 Quang Trung-Hồng Lĩnh-Hà Tĩnh","SN 12 Ngõ 340 Quang Trung Thị xã Hồng Lĩnh, Hà Tĩnh","",18.353889,105.880361
"Thừa Thiên - Huế","Thị xã Hương Thủy","Phường Thủy Dương",1129,"1129","Bưu Cục 74 Nguyễn Tất Thành-Hương Thủy-Huế","74 Nguyễn Tất Thành,Phường Thủy Dương,Thị xã Hường Thủy,TT Huế","",16.4423619,107.6182032
"Nghệ An","Thành phố Vinh","Phường Quán Bàu",1345,"1345","Bưu Cục 1A Tản Đà-Vinh-Nghệ An","(Cổng sau) 1A Tản Đà, P.Quán Bàu, TP Vinh, Nghệ An","",18.6877625,105.6684924
"Hưng Yên","Thành phố Hưng Yên","Phường Hiến Nam",1215,"1215","Bưu Cục 11 Chu Mạnh Trinh-TP.Hưng Yên","Số 11 Chu Mạnh Trinh, phường Hiến Nam, TP Hưng Yên, tỉnh Hưng Yên","",20.658027,106.062617
"Quảng Trị","Huyện Hướng Hóa","Thị trấn Khe Sanh",1404,"1404","Bưu Cục 279 Lê Duẩn-Hướng Hóa-Quảng Trị","279 lê duẩn, thị trấn khe sanh, H hướng hóa,Quảng Trị","",16.6247155,106.7308788
