"id","title","short_title","api_uri","first_name","middle_name","last_name","suffix","date_of_birth","gender","party","leadership_role","twitter_account","facebook_account","youtube_account","govtrack_id","cspan_id","votesmart_id","icpsr_id","crp_id","google_entity_id","fec_candidate_id","url","rss_url","contact_form","in_office","cook_pvi","dw_nominate","ideal_point","seniority","total_votes","missed_votes","total_present","last_updated","ocd_id","office","phone","fax","state","senate_class","state_rank","lis_id","missed_votes_pct","votes_with_party_pct","votes_against_party_pct"
"G000386","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/G000386.json","Charles","E.","Grassley",,"1933-09-17","M","R",,"ChuckGrassley","grassley","senchuckgrassley","300048","1167","53293","14226","N00001758","/m/020ymy","","https://www.grassley.senate.gov","https://www.grassley.senate.gov/?q=rss.xml",,false,,,,"11",550,0,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ia",,,,"IA","3","","S153",0,86.16,13.84
"H000206","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/H000206.json","Tom",,"Harkin",,"1939-11-19","M","D",,"SenatorHarkin","tomharkin","SenatorTomHarkin","300051","2005",,"14230",,"/m/020ynq","","http://www.harkin.senate.gov",,,false,,,,"7",550,139,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ia",,,,"IA","2","","S172",25.27,90.55,9.45
"H000338","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/H000338.json","Orrin","G.","Hatch",,"1934-03-22","M","R",,"SenOrrinHatch","senatororrinhatch","SenatorOrrinHatch","300052","189","53352","14503","N00009869","/m/016mj4","","https://www.hatch.senate.gov","https://www.hatch.senate.gov/public/index.cfm/rss/feed",,false,,,,"15",550,34,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ut",,,,"UT","1","","S118",6.18,92.14,7.86
"H000343","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/H000343.json","Mark","Odom","Hatfield",,"1922-07-12","M","R",,,,,"405212",,,"11203",,,"","",,,false,,,,"25",550,7,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:or",,,,"OR","2","","S044",1.27,66.17,33.83
"H000445","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/H000445.json","Howell","Thomas","Heflin",,"1921-06-19","M","D",,,,,"405310",,,"14705",,,"","",,,false,,,,"13",550,2,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:al",,,,"AL","2","","S130",0.36,68.53,31.47
"H000456","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/H000456.json","Henry","John","Heinz",,"1938-10-23","M","R",,,,,"405321",,,"13050",,,"","",,,false,,,,"15",41,0,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:pa",,,,"PA","1","","S115",0,82.5,17.5
"H000463","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/H000463.json","Jesse",,"Helms",,"1921-10-18","M","R",,,,,"300154",,,"14105",,,"","",,,false,,,,"19",550,137,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:nc",,,,"NC","2","","S046",24.91,80.15,19.85
"H000725","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/H000725.json","Ernest","F.","Hollings",,"1922-01-01","M","D",,,,,"300053",,,"11204",,,"","",,,false,,,,"25",550,0,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:sc",,,,"SC","3","","S047",0,72.12,27.88
"I000025","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/I000025.json","Daniel","K.","Inouye",,"1924-09-07","M","D",,"daniel_inouye",,,"300056","2568",,"4812",,"/m/021sv1","","",,,false,,,,"29",550,34,2,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:hi",,,,"HI","3","","S051",6.18,88.51,11.49
"J000072","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/J000072.json","James","M.","Jeffords",,"1934-05-11","M","R",,,,,"300057",,,"14240",,,"","",,,false,,,,"3",550,36,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:vt",,,,"VT","1","","S204",6.55,61.14,38.86
"J000189","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/J000189.json","John","Bennett","Johnston",,"1932-06-10","M","D",,,,,"406084",,,"14107",,,"","",,,false,,,,"19",550,7,2,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:la",,,,"LA","2","","S054",1.27,78.95,21.05
"K000017","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/K000017.json","Nancy","Landon","Kassebaum",,"1932-07-29","F","R",,,,,"406188",,,"14708",,,"","",,,false,,,,"13",550,12,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ks",,,,"KS","2","","S140",2.18,82.11,17.89
"K000019","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/K000019.json","Robert","Walter","Kasten",,"1942-06-19","M","R",,,,,"406190",,,"14242",,,"","",,,false,,,,"11",550,24,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:wi",,,,"WI","3","","S155",4.36,81.92,18.08
"K000105","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/K000105.json","Edward","M.","Kennedy",,"1932-02-22","M","D",,,,,"300059",,,"10808",,,"","",,,false,,,,"29",550,7,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ma",,,,"MA","1","","S055",1.27,91.53,8.47
"K000146","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/K000146.json","J. Robert",,"Kerrey",,"1943-08-27","M","D",,,,,"400561",,,"15703",,,"","",,,false,,,,"3",550,105,2,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ne",,,,"NE","1","","S208",19.09,88.3,11.7
"K000148","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/K000148.json","John",,"Kerry",,"1943-12-11","M","D",,,,"senatorkerry","300060","1485",,"15300",,"/m/0d3qd0","","",,,false,,,,"7",550,2,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ma",,,,"MA","2","","S173",0.36,90.5,9.5
"K000305","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/K000305.json","Herb",,"Kohl",,"1935-02-07","M","D",,,,"SenatorKohl","300061","4030",,"15704",,"/m/04fy4q","","",,,false,,,,"3",550,2,1,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:wi",,,,"WI","1","","S209",0.36,83.24,16.76
"L000123","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/L000123.json","Frank","R.","Lautenberg",,"1924-01-23","M","D",,"franklautenberg","franklautenberg",,"300064","2515",,"14914",,"/m/01wsvs","","http://www.lautenberg.senate.gov/",,,false,,,,"9",550,0,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:nj",,,,"NJ","1","","S166",0,88.29,11.71
"L000174","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/L000174.json","Patrick","J.","Leahy",,"1940-03-31","M","D",,"SenatorLeahy","SenatorPatrickLeahy","SenatorPatrickLeahy","300065","1552","53353","14307","N00009918","/m/0202kf","","https://www.leahy.senate.gov",,,false,,,,"17",550,16,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:vt",,,,"VT","3","","S057",2.91,89.85,10.15
"L000261","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/L000261.json","Carl",,"Levin",,"1934-06-28","M","D",,"SenCarlLevin","carllevin","SenCarlLevin","300066","2592",,"14709",,"/m/01xh6j","","http://www.levin.senate.gov",,,false,,,,"13",550,4,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:mi",,,,"MI","2","","S131",0.73,90.07,9.93
"L000304","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/L000304.json","Joseph","I.","Lieberman",,"1942-02-24","M","D",,"JoeLieberman",,"SenatorJoeLieberman","300067","4363",,"15705",,"/m/0jw5r","","",,,false,,,,"3",550,6,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ct",,,,"CT","1","","S210",1.09,86.09,13.91
"L000447","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/L000447.json","Trent",,"Lott",,"1941-10-09","M","R",,,,,"300069","1886",,"14031",,,"","",,,false,,,,"3",550,9,1,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ms",,,,"MS","1","","S203",1.64,88.95,11.05
"L000504","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/L000504.json","Richard","G.","Lugar",,"1932-04-04","M","R",,"senatorlugar",,"senatorlugar","300070","255",,"14506",,"/m/01d_bx","","",,,false,,,,"15",550,14,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:in",,,,"IN","1","","S105",2.55,88.47,11.53
"M000019","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/M000019.json","Connie",,"Mack",,"1940-10-29","M","R",,,,,"400562",,,"15037",,,"","",,,false,,,,"3",550,8,6,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:fl",,,,"FL","1","","S205",1.45,85.96,14.04
"M000303","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/M000303.json","John",,"McCain",,"1936-08-29","M","R",,"SenJohnMcCain","johnmccain","SenatorJohnMcCain","300071","7476","53270","15039","N00006424","/m/0bymv","","https://www.mccain.senate.gov","https://www.mccain.senate.gov/public/?a=rss.feed",,false,,,,"5",550,11,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:az",,,,"AZ","3","","S197",2,87.05,12.95
"M000355","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/M000355.json","Mitch",,"McConnell",,"1942-02-20","M","R",,"McConnellPress","mitchmcconnell",,"300072","2351","53298","14921","N00003389","/m/01z6ls","","https://www.mcconnell.senate.gov","https://www.mcconnell.senate.gov/public/?a=RSS.Feed",,false,,,,"7",550,3,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ky",,,,"KY","2","","S174",0.55,92.58,7.42
"M000678","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/M000678.json","Howard","Morton","Metzenbaum",,"1917-06-04","M","D",,,,,"407663",,,"14073",,,"","",,,false,,,,"16",550,11,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:oh",,,,"OH","1","","S114",2,86.34,13.66
"M000702","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/M000702.json","Barbara","A.","Mikulski",,"1936-07-20","F","D",,"SenatorBarb","SenatorMikulski","senatormikulski","300073","1396",,"14440",,"/m/0206nm","","https://www.mikulski.senate.gov",,,false,,,,"5",550,10,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:md",,,,"MD","3","","S182",1.82,91.48,8.52
"M000811","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/M000811.json","George","John","Mitchell",,"1933-08-20","M","D",,,,,"407786",,,"14713",,,"","",,,false,,,,"11",550,0,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:me",,,,"ME","1","","S144",0,91.82,8.18
"M001054","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/M001054.json","Daniel","Patrick","Moynihan",,"1927-03-16","M","D",,,,,"400563",,,"14508",,,"","",,,false,,,,"15",550,1,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ny",,,,"NY","1","","S113",0.18,89.39,10.61
"M001085","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/M001085.json","Frank","H.","Murkowski",,"1933-03-28","M","R",,,,,"300150",,,"14908",,,"","",,,false,,,,"11",550,23,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ak",,,,"AK","3","","S157",4.18,90.4,9.6
"N000102","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/N000102.json","Don",,"Nickles",,"1948-12-06","M","R",,,,,"300079",,,"14909",,,"","",,,false,,,,"11",550,18,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ok",,,,"OK","3","","S158",3.27,87.98,12.02
"N000171","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/N000171.json","Samuel","Augustus","Nunn",,"1938-09-08","M","D",,,,,"408252",,,"14108",,,"","",,,false,,,,"19",550,11,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ga",,,,"GA","2","","S074",2,79.89,20.11
"P000009","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/P000009.json","Robert","William","Packwood",,"1932-09-11","M","R",,,,,"408420",,,"12107",,,"","",,,false,,,,"23",550,14,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:or",,,,"OR","3","","S075",2.55,72.59,27.41
