ranking,position,position_id,department,no,name,party,start,end,president
4,secretary of the treasury,treasury,department of the treasury,40,Charles Foster,republican,,,Benjamin Harrison
4,secretary of the treasury,treasury,department of the treasury,41,John G. Carlisle,democratic,,,Grover Cleveland
4,secretary of the treasury,treasury,department of the treasury,42,Lyman J. Gage,republican,,,William McKinley - Theodore Roosevelt
4,secretary of the treasury,treasury,department of the treasury,43,L. M. Shaw,republican,,,Theodore Roosevelt
4,secretary of the treasury,treasury,department of the treasury,44,George B. Cortelyou,republican,,,Theodore Roosevelt
4,secretary of the treasury,treasury,department of the treasury,45,Franklin MacVeagh,republican,,,William Howard Taft
4,secretary of the treasury,treasury,department of the treasury,46,William G. McAdoo,democratic,,,Woodrow Wilson
4,secretary of the treasury,treasury,department of the treasury,47,Carter Glass,democratic,,,Woodrow Wilson
4,secretary of the treasury,treasury,department of the treasury,48,David F. Houston,democratic,,,Woodrow Wilson
4,secretary of the treasury,treasury,department of the treasury,49,Andrew W. Mellon,republican,,,Warren G. Harding - Calvin Coolidge - Herbert Hoover
4,secretary of the treasury,treasury,department of the treasury,50,Ogden L. Mills,republican,,,Herbert Hoover
4,secretary of the treasury,treasury,department of the treasury,51,William H. Woodin,republican,,,Franklin D. Roosevelt
4,secretary of the treasury,treasury,department of the treasury,52,Henry Morgenthau, Jr.,democratic,,,Franklin D. Roosevelt
4,secretary of the treasury,treasury,department of the treasury,53,Fred M. Vinson,democratic,,,Fred M. Vinson
4,secretary of the treasury,treasury,department of the treasury,54,John Wesley Snyder,democratic,,,Fred M. Vinson
4,secretary of the treasury,treasury,department of the treasury,55,George M. Humphrey,republican,,,Dwight D. Eisenhower
4,secretary of the treasury,treasury,department of the treasury,56,Robert B. Anderson,republican,,,Dwight D. Eisenhower
4,secretary of the treasury,treasury,department of the treasury,57,C. Douglas Dillon,republican,,,John F. Kennedy - Lyndon B. Johnson
4,secretary of the treasury,treasury,department of the treasury,58,Henry H. Fowler,democratic,,,Lyndon B. Johnson
4,secretary of the treasury,treasury,department of the treasury,59,Joseph W. Barr,democratic,,,Lyndon B. Johnson
4,secretary of the treasury,treasury,department of the treasury,60,David M. Kennedy,republican,,,Richard Nixon
4,secretary of the treasury,treasury,department of the treasury,61,John Connally,democratic,,,Richard Nixon
4,secretary of the treasury,treasury,department of the treasury,62,George P. Shultz,republican,,,Richard Nixon
4,secretary of the treasury,treasury,department of the treasury,63,William E. Simon,republican,,,Richard Nixon - Gerald Ford
4,secretary of the treasury,treasury,department of the treasury,64,W. Michael Blumenthal,democratic,,,Jimmy Carter
4,secretary of the treasury,treasury,department of the treasury,65,G. William Miller,democratic,,,Jimmy Carter
4,secretary of the treasury,treasury,department of the treasury,66,Donald Regan,republican,,,Ronald Reagan
4,secretary of the treasury,treasury,department of the treasury,67,James Baker,republican,,,Ronald Reagan
4,secretary of the treasury,treasury,department of the treasury,-,M. Peter McPherson,,,,Ronald Reagan
4,secretary of the treasury,treasury,department of the treasury,68,Nicholas F. Brady,republican,,,Ronald Reagan - George H. W. Bush
4,secretary of the treasury,treasury,department of the treasury,69,Lloyd Bentsen,democratic,,,Bill Clinton
4,secretary of the treasury,treasury,department of the treasury,-,Frank N. Newman,,,,Bill Clinton
4,secretary of the treasury,treasury,department of the treasury,70,Robert Rubin,democratic,,,Bill Clinton
4,secretary of the treasury,treasury,department of the treasury,72,Lawrence Summers,democratic,,,Bill Clinton
4,secretary of the treasury,treasury,department of the treasury,73,Paul H. O'Neill,republican,,,George W. Bush
4,secretary of the treasury,treasury,department of the treasury,-,Kenneth W. Dam,,,,George W. Bush
4,secretary of the treasury,treasury,department of the treasury,73,John W. Snow,republican,,,George W. Bush
4,secretary of the treasury,treasury,department of the treasury,-,Robert M. Kimmitt,,,,George W. Bush
4,secretary of the treasury,treasury,department of the treasury,74,Henry Paulson,republican,,,George W. Bush
4,secretary of the treasury,treasury,department of the treasury,-,Stuart A. Levey,,,,Barack Obama
4,secretary of the treasury,treasury,department of the treasury,75,Timothy Geithner,independent,,,Barack Obama
4,secretary of the treasury,treasury,department of the treasury,-,Neal S. Wolin,,,,Barack Obama
4,secretary of the treasury,treasury,department of the treasury,76,Jack Lew,democratic,,,Barack Obama
4,secretary of the treasury,treasury,department of the treasury,-,Adam J. Szubin,,,,Donald Trump
4,secretary of the treasury,treasury,department of the treasury,77,Steven Mnuchin,republican,,,Donald Trump
5,secretary of defense,defense,department of defense,1,James Forrestal,democratic,,,Harry S Truman
5,secretary of defense,defense,department of defense,2,Louis A. Johnson,democratic,,,Harry S Truman
5,secretary of defense,defense,department of defense,3,George Marshall,Indepedent,,,Harry S Truman
5,secretary of defense,defense,department of defense,4,Robert A. Lovett,republican,,,Harry S Truman
5,secretary of defense,defense,department of defense,5,Charles Erwin Wilson,republican,,,Dwight D. Eisenhower
5,secretary of defense,defense,department of defense,6,Neil H. McElroy,republican,,,Dwight D. Eisenhower
5,secretary of defense,defense,department of defense,7,Thomas S. Gates Jr.,republican,,,Dwight D. Eisenhower
5,secretary of defense,defense,department of defense,8,Robert McNamara,republican,,,John F. Kennedy - Lyndon B. Johnson
5,secretary of defense,defense,department of defense,9,Clark Clifford,democratic,,,Lyndon B. Johnson
5,secretary of defense,defense,department of defense,10,Melvin R. Laird,republican,,,Richard Nixon
5,secretary of defense,defense,department of defense,11,Elliot Richardson,republican,,,Richard Nixon
5,secretary of defense,defense,department of defense,-,Bill Clements,republican,,,Richard Nixon
5,secretary of defense,defense,department of defense,12,James R. Schlesinger,republican,,,Richard Nixon - Gerald Ford
5,secretary of defense,defense,department of defense,13,Donald Rumsfeld,republican,,,Gerald Ford
5,secretary of defense,defense,department of defense,14,Harold Brown,Indepedent,,,Jimmy Carter
5,secretary of defense,defense,department of defense,15,Caspar Weinberger,republican,,,Ronald Reagan
5,secretary of defense,defense,department of defense,16,Frank Carlucci,republican,,,Ronald Reagan
5,secretary of defense,defense,department of defense,-,William Howard Taft IV,republican,,,George H. W. Bush
5,secretary of defense,defense,department of defense,17,Dick Cheney,republican,,,George H. W. Bush
5,secretary of defense,defense,department of defense,18,Leslie Aspin,democratic,,,Bill Clinton
5,secretary of defense,defense,department of defense,19,William Perry,Indepedent,,,Bill Clinton
5,secretary of defense,defense,department of defense,20,William Cohen,republican,,,Bill Clinton
5,secretary of defense,defense,department of defense,21,Donald Rumsfeld,republican,,,George W. Bush
5,secretary of defense,defense,department of defense,22,Robert Gates,republican,,,George W. Bush - Barack Obama
5,secretary of defense,defense,department of defense,23,Leon Panetta,democratic,,,Barack Obama
5,secretary of defense,defense,department of defense,24,Chuck Hagel,republican,,,Barack Obama
5,secretary of defense,defense,department of defense,25,Ash Carter,democratic,,,Barack Obama
5,secretary of defense,defense,department of defense,26,Jim Mattis,Indepedent,,,Donald Trump
5,secretary of defense,defense,department of defense,-,Patrick M. Shanahan,,,,Donald Trump
5,secretary of defense,defense,department of defense,-,Mark Esper,republican,,,Donald Trump
5,secretary of defense,defense,department of defense,-,Richard V. Spencer,,,,Donald Trump
5,secretary of defense,defense,department of defense,27,Mark Esper,republican,,,Donald Trump
5,secretary of defense,defense,department of defense,-,Christopher C. Miller,republican,,,Donald Trump
6,attorney general,attorney,department of justice,1,Edmund Randolph,federalist,,,George Washington
6,attorney general,attorney,department of justice,2,William Bradford,federalist,,,George Washington
6,attorney general,attorney,department of justice,3,Charles Lee,federalist,,,George Washington - John Adams
6,attorney general,attorney,department of justice,4,Levi Lincoln Sr.,democratic-republican,,,Thomas Jefferson
6,attorney general,attorney,department of justice,5,John Breckinridge,democratic-republican,,,Thomas Jefferson
6,attorney general,attorney,department of justice,6,Caesar Augustus Rodney,democratic-republican,,,Thomas Jefferson - James Madison
6,attorney general,attorney,department of justice,7,William Pinkney,democratic-republican,,,James Madison
6,attorney general,attorney,department of justice,8,Richard Rush,federalist,,,James Madison
