"id","name","chamber","url","api_uri","chair","chair_id","chair_party","chair_state","chair_uri","ranking_member_id","subcommittees"
"SSGA","Committee on Homeland Security and Governmental Affairs","Senate","http://www.hsgac.senate.gov/","https://api.propublica.org/congress/v1/115/senate/committees/SSGA.json","Ron Johnson","J000293","R","WI","https://api.propublica.org/congress/v1/members/J000293.json","M001170","[{""id"":""SSGA01"",""name"":""Permanent Subcommittee on Investigations"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSGA/subcommittees/SSGA01.json""},{""id"":""SSGA15"",""name"":""Financial and Contracting Oversight"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSGA/subcommittees/SSGA15.json""},{""id"":""SSGA17"",""name"":""Emergency Management, Intergovernmental Relations, and the District of Columbia"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSGA/subcommittees/SSGA17.json""},{""id"":""SSGA16"",""name"":""the Efficiency and Effectiveness of Federal Programs and the Federal Workforce"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSGA/subcommittees/SSGA16.json""},{""id"":""SSGA19"",""name"":""Regulatory Affairs and Federal Management"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSGA/subcommittees/SSGA19.json""},{""id"":""SSGA18"",""name"":""Federal Spending Oversight and Emergency Management"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSGA/subcommittees/SSGA18.json""},{""id"":""SSGA20"",""name"":""Emerging Threats and Spending Oversight"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSGA/subcommittees/SSGA20.json""},{""id"":""SSGA22"",""name"":""Governmental Operations and Border Management"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSGA/subcommittees/SSGA22.json""}]"
"SLIA","Committee on Indian Affairs","Senate","http://www.indian.senate.gov/","https://api.propublica.org/congress/v1/115/senate/committees/SLIA.json","John Hoeven","H001061","R","ND","https://api.propublica.org/congress/v1/members/H001061.json","U000039","[]"
"SSRA","Committee on Rules and Administration","Senate","http://www.rules.senate.gov/","https://api.propublica.org/congress/v1/115/senate/committees/SSRA.json","Richard C. Shelby","S000320","R","AL","https://api.propublica.org/congress/v1/members/S000320.json","K000367","[]"
"SSSB","Committee on Small Business and Entrepreneurship","Senate","http://www.sbc.senate.gov/","https://api.propublica.org/congress/v1/115/senate/committees/SSSB.json","Jim Risch","R000584","R","ID","https://api.propublica.org/congress/v1/members/R000584.json","C000141","[]"
"SSBU","Committee on the Budget","Senate","http://www.budget.senate.gov/","https://api.propublica.org/congress/v1/115/senate/committees/SSBU.json","Michael B. Enzi","E000285","R","WY","https://api.propublica.org/congress/v1/members/E000285.json","S000033","[]"
"SSJU","Committee on the Judiciary","Senate","http://www.judiciary.senate.gov/","https://api.propublica.org/congress/v1/115/senate/committees/SSJU.json","Charles E. Grassley","G000386","R","IA","https://api.propublica.org/congress/v1/members/G000386.json","F000062","[{""id"":""SSJU01"",""name"":""Antitrust, Competition Policy and Consumer Rights"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSJU/subcommittees/SSJU01.json""},{""id"":""SSJU04"",""name"":""Border Security and Immigration"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSJU/subcommittees/SSJU04.json""},{""id"":""SSJU22"",""name"":""Crime and Terrorism"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSJU/subcommittees/SSJU22.json""},{""id"":""SSJU21"",""name"":""the Constitution"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSJU/subcommittees/SSJU21.json""},{""id"":""SSJU25"",""name"":""Oversight, Agency Action, Federal Rights and Federal Courts"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSJU/subcommittees/SSJU25.json""},{""id"":""SSJU26"",""name"":""Intellectual Property"",""api_uri"":""https://api.propublica.org/congress/v1/115/senate/committees/SSJU/subcommittees/SSJU26.json""}]"
"SSVA","Committee on Veterans' Affairs","Senate","http://www.veterans.senate.gov/","https://api.propublica.org/congress/v1/115/senate/committees/SSVA.json","Johnny Isakson","I000055","R","GA","https://api.propublica.org/congress/v1/members/I000055.json","T000464","[]"
"SLET","Select Committee on Ethics","Senate","http://www.ethics.senate.gov/","https://api.propublica.org/congress/v1/115/senate/committees/SLET.json","Johnny Isakson","I000055","R","GA","https://api.propublica.org/congress/v1/members/I000055.json","C001088","[]"
"SLIN","Select Committee on Intelligence","Senate","http://www.intelligence.senate.gov/","https://api.propublica.org/congress/v1/115/senate/committees/SLIN.json","Richard M. Burr","B001135","R","NC","https://api.propublica.org/congress/v1/members/B001135.json","W000805","[]"
"SPAG","Special Committee on Aging","Senate","http://www.aging.senate.gov/","https://api.propublica.org/congress/v1/115/senate/committees/SPAG.json","Susan Collins","C001035","R","ME","https://api.propublica.org/congress/v1/members/C001035.json","C001070","[]"
"SCNC","United States Caucus on International Narcotics Control","Senate","http://www.drugcaucus.senate.gov/","https://api.propublica.org/congress/v1/115/senate/committees/SCNC.json","Charles E. Grassley","G000386","R","IA","https://api.propublica.org/congress/v1/members/G000386.json","F000062","[]"
