"id","name","chamber","url","api_uri","chair","chair_id","chair_party","chair_state","chair_uri","ranking_member_id","subcommittees"
"SSGA","Committee on Homeland Security and Governmental Affairs","Senate","http://www.hsgac.senate.gov/","https://api.propublica.org/congress/v1/112/senate/committees/SSGA.json","Joseph I. Lieberman","L000304","I","CT","https://api.propublica.org/congress/v1/members/L000304.json",,"[{""id"":""SSGA01"",""name"":""Permanent Subcommittee on Investigations"",""api_uri"":""https://api.propublica.org/congress/v1/112/senate/committees/SSGA/subcommittees/SSGA01.json""},{""id"":""SSGA15"",""name"":""Financial and Contracting Oversight"",""api_uri"":""https://api.propublica.org/congress/v1/112/senate/committees/SSGA/subcommittees/SSGA15.json""},{""id"":""SSGA17"",""name"":""Emergency Management, Intergovernmental Relations, and the District of Columbia"",""api_uri"":""https://api.propublica.org/congress/v1/112/senate/committees/SSGA/subcommittees/SSGA17.json""},{""id"":""SSGA16"",""name"":""the Efficiency and Effectiveness of Federal Programs and the Federal Workforce"",""api_uri"":""https://api.propublica.org/congress/v1/112/senate/committees/SSGA/subcommittees/SSGA16.json""},{""id"":""SSGA19"",""name"":""Regulatory Affairs and Federal Management"",""api_uri"":""https://api.propublica.org/congress/v1/112/senate/committees/SSGA/subcommittees/SSGA19.json""},{""id"":""SSGA18"",""name"":""Federal Spending Oversight and Emergency Management"",""api_uri"":""https://api.propublica.org/congress/v1/112/senate/committees/SSGA/subcommittees/SSGA18.json""},{""id"":""SSGA20"",""name"":""Emerging Threats and Spending Oversight"",""api_uri"":""https://api.propublica.org/congress/v1/112/senate/committees/SSGA/subcommittees/SSGA20.json""},{""id"":""SSGA22"",""name"":""Governmental Operations and Border Management"",""api_uri"":""https://api.propublica.org/congress/v1/112/senate/committees/SSGA/subcommittees/SSGA22.json""}]"
"SLIA","Committee on Indian Affairs","Senate","http://www.indian.senate.gov/","https://api.propublica.org/congress/v1/112/senate/committees/SLIA.json","John Barrasso","B001261","R","WY","https://api.propublica.org/congress/v1/members/B001261.json",,"[]"
"SSRA","Committee on Rules and Administration","Senate","http://www.rules.senate.gov/","https://api.propublica.org/congress/v1/112/senate/committees/SSRA.json","Charles E. Schumer","S000148","D","NY","https://api.propublica.org/congress/v1/members/S000148.json",,"[]"
"SSSB","Committee on Small Business and Entrepreneurship","Senate","http://www.sbc.senate.gov/","https://api.propublica.org/congress/v1/112/senate/committees/SSSB.json","Olympia J. Snowe","S000663","R","ME","https://api.propublica.org/congress/v1/members/S000663.json",,"[]"
"SSBU","Committee on the Budget","Senate","http://www.budget.senate.gov/","https://api.propublica.org/congress/v1/112/senate/committees/SSBU.json","Jeff Sessions","S001141","R","AL","https://api.propublica.org/congress/v1/members/S001141.json",,"[]"
"SSJU","Committee on the Judiciary","Senate","http://www.judiciary.senate.gov/","https://api.propublica.org/congress/v1/112/senate/committees/SSJU.json","Patrick J. Leahy","L000174","D","VT","https://api.propublica.org/congress/v1/members/L000174.json",,"[{""id"":""SSJU01"",""name"":""Antitrust, Competition Policy and Consumer Rights"",""api_uri"":""https://api.propublica.org/congress/v1/112/senate/committees/SSJU/subcommittees/SSJU01.json""},{""id"":""SSJU04"",""name"":""Border Security and Immigration"",""api_uri"":""https://api.propublica.org/congress/v1/112/senate/committees/SSJU/subcommittees/SSJU04.json""},{""id"":""SSJU22"",""name"":""Crime and Terrorism"",""api_uri"":""https://api.propublica.org/congress/v1/112/senate/committees/SSJU/subcommittees/SSJU22.json""},{""id"":""SSJU21"",""name"":""the Constitution"",""api_uri"":""https://api.propublica.org/congress/v1/112/senate/committees/SSJU/subcommittees/SSJU21.json""},{""id"":""SSJU25"",""name"":""Federal Courts, Oversight, Agency Action, and Federal Rights"",""api_uri"":""https://api.propublica.org/congress/v1/112/senate/committees/SSJU/subcommittees/SSJU25.json""},{""id"":""SSJU26"",""name"":""Intellectual Property"",""api_uri"":""https://api.propublica.org/congress/v1/112/senate/committees/SSJU/subcommittees/SSJU26.json""}]"
"SSVA","Committee on Veterans' Affairs","Senate","http://www.veterans.senate.gov/","https://api.propublica.org/congress/v1/112/senate/committees/SSVA.json","Patty Murray","M001111","D","WA","https://api.propublica.org/congress/v1/members/M001111.json",,"[]"
"SLET","Select Committee on Ethics","Senate","http://www.ethics.senate.gov/","https://api.propublica.org/congress/v1/112/senate/committees/SLET.json","Johnny Isakson","I000055","R","GA","https://api.propublica.org/congress/v1/members/I000055.json",,"[]"
"SLIN","Select Committee on Intelligence","Senate","http://www.intelligence.senate.gov/","https://api.propublica.org/congress/v1/112/senate/committees/SLIN.json","Dianne Feinstein","F000062","D","CA","https://api.propublica.org/congress/v1/members/F000062.json",,"[]"
"SPAG","Special Committee on Aging","Senate","http://www.aging.senate.gov/","https://api.propublica.org/congress/v1/112/senate/committees/SPAG.json","Herb Kohl","K000305","D","WI","https://api.propublica.org/congress/v1/members/K000305.json",,"[]"
