"id","title","short_title","api_uri","first_name","middle_name","last_name","suffix","date_of_birth","gender","party","leadership_role","twitter_account","facebook_account","youtube_account","govtrack_id","cspan_id","votesmart_id","icpsr_id","crp_id","google_entity_id","fec_candidate_id","url","rss_url","contact_form","in_office","cook_pvi","dw_nominate","ideal_point","seniority","total_votes","missed_votes","total_present","last_updated","ocd_id","office","phone","fax","state","district","at_large","geoid"
"B000072","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000072.json","Richard","Hugh","Baker",,"1948-05-22","M","R",,,,,"400012",,,"15400",,,"","",,,false,,,,"4",,,,"2013-04-12 20:12:02 -0400","ocd-division/country:us/state:la/cd:6",,,,"LA","6",false,"2206"
"B000104","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000104.json","Cass",,"Ballenger",,"1926-12-06","M","R",,,,,"400015",,,"15401",,,"","",,,false,,,,"4",,,,"2013-04-12 20:12:01 -0400","ocd-division/country:us/state:nc/cd:10",,,,"NC","10",false,"3710"
"B000153","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000153.json","Druie","Douglas","Barnard",,"1922-03-20",,"D",,,,,"401155",,,"14404",,,"","",,,false,,,,"14",,,,"2013-04-12 20:11:55 -0400","ocd-division/country:us/state:ga/cd:10",,,,"GA","10",false,"1310"
"B000204","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000204.json","Harry","Stephen","Bartlett",,"1947-09-19","M","R",,,,,"401203",,,"15001",,,"","",,,false,,,,"8",,,,"2013-04-12 20:11:55 -0400","ocd-division/country:us/state:tx/cd:3",,,,"TX","3",false,"4803"
"B000213","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000213.json","Joe","L.","Barton",,"1949-09-15","M","R",,"RepJoeBarton","RepJoeBarton","repjoebarton","400018","5248","27082","15085","N00005656","/m/03rspq","","https://joebarton.house.gov",,,false,,,,"6",,,,"2018-03-07 08:14:15 -0500","ocd-division/country:us/state:tx/cd:6",,,,"TX","6",false,"4806"
"B000229","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000229.json","Herbert","H.","Bateman",,"1928-08-07","M","R",,,,,"400569",,,"15002",,,"","",,,false,,,,"8",,,,"2013-04-12 20:11:59 -0400","ocd-division/country:us/state:va/cd:1",,,,"VA","1",false,"5101"
"B000236","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000236.json","Jim",,"Bates",,"1941-07-21",,"D",,,,,"401231",,,"15003",,,"","",,,false,,,,"8",,,,"2013-04-12 20:11:54 -0400","ocd-division/country:us/state:ca/cd:44",,,,"CA","44",false,"0644"
"B000318","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000318.json","Anthony","C.","Beilenson",,"1932-10-26","M","D",,,,,"401310",,,"14405",,,"","",,,false,,,,"14",,,,"2013-04-12 20:11:58 -0400","ocd-division/country:us/state:ca/cd:23",,,,"CA","23",false,"0623"
"B000371","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000371.json","Charles","Edward","Bennett",,"1910-12-02","M","D",,,,,"401363",,,"633",,,"","",,,false,,,,"42",,,,"2013-04-12 20:11:55 -0400","ocd-division/country:us/state:fl/cd:3",,,,"FL","3",false,"1203"
"B000392","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000392.json","Helen","Delich","Bentley",,"1923-11-28","F","R",,,,,"401383",,,"15203",,,"","",,,false,,,,"6",,,,"2013-04-12 20:11:57 -0400","ocd-division/country:us/state:md/cd:2",,,,"MD","2",false,"2402"
"B000403","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000403.json","Douglas","K.","Bereuter",,"1939-10-06","M","R",,,,,"400023",,,"14605",,,"","",,,false,,,,"12",,,,"2013-04-12 20:12:01 -0400","ocd-division/country:us/state:ne/cd:1",,,,"NE","1",false,"3101"
"B000410","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000410.json","Howard","L.","Berman",,"1941-04-15","M","D",,"RepHowardBerman",,"RepHowardBerman","400025","1592",,"15004",,,"","",,,false,,,,"8",,,,"2016-05-03 15:22:14 -0400","ocd-division/country:us/state:ca/cd:26",,,,"CA","26",false,"0626"
"B000431","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000431.json","Tom",,"Bevill",,"1921-03-27","M","D",,,,,"401417",,,"11000",,,"","",,,false,,,,"24",,,,"2013-04-12 20:11:58 -0400","ocd-division/country:us/state:al/cd:4",,,,"AL","4",false,"0104"
"B000462","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000462.json","James","H.","Bilbray",,"1938-05-19","M","D",,,,,"401446",,,"15402",,,"","",,,false,,,,"4",,,,"2013-04-12 20:11:57 -0400","ocd-division/country:us/state:nv/cd:1",,,,"NV","1",false,"3201"
"B000463","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000463.json","Michael",,"Bilirakis",,"1930-07-16","M","R",,,,,"400028",,,"15005",,,"","",,,false,,,,"8",,,,"2013-04-12 20:12:02 -0400","ocd-division/country:us/state:fl/cd:9",,,,"FL","9",false,"1209"
"B000551","Delegate","Del.","https://api.propublica.org/congress/v1/members/B000551.json","Ben","Garrido","Blaz",,"1928-02-14",,"R",,,,,"401526",,,"15261",,,"","",,,false,,,,"6",,,,"2013-04-12 20:11:55 -0400","ocd-division/country:us/state:gu/cd:79",,,,"GU","At-Large",true,"6698"
"B000556","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000556.json","Tom",,"Bliley",,"1932-01-28","M","R",,,,,"400571",,,"14802",,,"","",,,false,,,,"10",,,,"2013-04-12 20:11:59 -0400","ocd-division/country:us/state:va/cd:3",,,,"VA","3",false,"5103"
"B000586","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000586.json","Sherwood","L.","Boehlert",,"1936-09-28","M","R",,,,,"400035",,,"15006",,,"","",,,false,,,,"8",,,,"2013-04-12 20:12:02 -0400","ocd-division/country:us/state:ny/cd:25",,,,"NY","25",false,"3625"
"B000592","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000592.json","Corinne","Claiborne","Boggs",,"1916-03-13","F","D",,,,,"401560",,,"14067",,,"","",,,false,,,,"18",,,,"2013-04-12 20:11:54 -0400","ocd-division/country:us/state:la/cd:2",,,,"LA","2",false,"2202"
"B000619","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000619.json","David","E.","Bonior",,"1945-06-06","M","D",,,,,"400527",,,"14407",,,"","",,,false,,,,"14",,,,"2013-04-12 20:12:00 -0400","ocd-division/country:us/state:mi/cd:12",,,,"MI","12",false,"2612"
"B000644","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000644.json","Robert","A.","Borski",,"1948-10-20","M","D",,,,,"400542",,,"15007",,,"","",,,false,,,,"8",,,,"2013-04-12 20:12:00 -0400","ocd-division/country:us/state:pa/cd:3",,,,"PA","3",false,"4203"
"B000648","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000648.json","Douglas","Harry","Bosco",,"1946-07-28",,"D",,,,,"401612",,,"15008",,,"","",,,false,,,,"8",,,,"2013-04-12 20:11:54 -0400","ocd-division/country:us/state:ca/cd:1",,,,"CA","1",false,"0601"
"B000657","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000657.json","Rick",,"Boucher",,"1946-08-01","M","D",,,,,"400043","6736",,"15009",,"/m/01_k5m","","",,,false,,,,"8",,,,"2016-06-14 16:26:01 -0400","ocd-division/country:us/state:va/cd:9",,,,"VA","9",false,"5109"
"B000711","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000711.json","Barbara",,"Boxer",,"1940-11-11","F","D",,"SenatorBoxer","senatorboxer","SenatorBoxer","300011","2470",,"15011",,"/m/01c1n5","","https://www.boxer.senate.gov","https://www.boxer.senate.gov/rss/?p=release",,false,,,,"8",,,,"2016-06-30 13:52:07 -0400","ocd-division/country:us/state:ca/cd:6",,,,"CA","6",false,"0606"
"B000798","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000798.json","Joseph","Edward","Brennan",,"1934-11-02","M","D",,,,,"401755",,,"15403",,,"","",,,false,,,,"4",,,,"2013-04-12 20:11:54 -0400","ocd-division/country:us/state:me/cd:1",,,,"ME","1",false,"2301"
"B000880","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000880.json","Jack","B.","Brooks",,"1922-12-18","M","D",,,,,"401837",,,"1077",,,"","",,,false,,,,"38",,,,"2013-04-12 20:11:57 -0400","ocd-division/country:us/state:tx/cd:9",,,,"TX","9",false,"4809"
"B000890","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000890.json","William","S.","Broomfield",,"1922-04-28","M","R",,,,,"401847",,,"1087",,,"","",,,false,,,,"34",,,,"2013-04-12 20:11:55 -0400","ocd-division/country:us/state:mi/cd:18",,,,"MI","18",false,"2618"
"B000897","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000897.json","Glen",,"Browder",,"1943-01-15","M","D",,,,,"401854",,,"15635",,,"","",,,false,,,,"2",,,,"2013-04-12 20:11:58 -0400","ocd-division/country:us/state:al/cd:3",,,,"AL","3",false,"0103"
"B000918","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000918.json","George","E.","Brown",,"1920-03-06","M","D",,,,,"400572",,,"10573",,,"","",,,false,,,,"26",,,,"2013-04-12 20:11:59 -0400","ocd-division/country:us/state:ca/cd:36",,,,"CA","36",false,"0636"
"B000919","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000919.json","Hank",,"Brown",,"1940-02-12","M","R",,,,,"401874",,,"14803",,,"","",,,false,,,,"10",,,,"2013-04-12 20:11:55 -0400","ocd-division/country:us/state:co/cd:4",,,,"CO","4",false,"0804"
"B000971","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000971.json","Terry","Lee","Bruce",,"1944-03-25",,"D",,,,,"401923",,,"15205",,,"","",,,false,,,,"6",,,,"2013-04-12 20:11:55 -0400","ocd-division/country:us/state:il/cd:19",,,,"IL","19",false,"1719"
"B000997","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000997.json","John","W.","Bryant",,"1947-02-22","M","D",,,,,"401947",,,"15012",,,"","",,,false,,,,"8",,,,"2013-04-12 20:11:58 -0400","ocd-division/country:us/state:tx/cd:5",,,,"TX","5",false,"4805"
"B001036","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001036.json","John","William","Buechner",,"1940-06-04","M","R",,,,,"401986",,,"15404",,,"","",,,false,,,,"4",,,,"2013-04-12 20:11:54 -0400","ocd-division/country:us/state:mo/cd:2",,,,"MO","2",false,"2902"
"B001066","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001066.json","Jim",,"Bunning",,"1931-10-23","M","R",,,,"SenJimBunning","300014","1457",,"15405",,"/m/0lbm2","","",,,false,,,,"4",,,,"2016-06-14 16:26:03 -0400","ocd-division/country:us/state:ky/cd:4",,,,"KY","4",false,"2104"
"B001149","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001149.json","Dan",,"Burton",,"1938-06-21","M","R",,"RepDanBurton",,"CongressmanDanBurton","400055",,,"15013",,"/m/022r4p","","",,,false,,,,"8",,,,"2016-06-14 16:26:04 -0400","ocd-division/country:us/state:in/cd:6",,,,"IN","6",false,"1806"
"B001172","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001172.json","Albert","Garza","Bustamante",,"1935-04-08","M","D",,,,,"402114",,,"15206",,,"","",,,false,,,,"6",,,,"2013-04-12 20:11:55 -0400","ocd-division/country:us/state:tx/cd:23",,,,"TX","23",false,"4823"
"B001220","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001220.json","Beverly","Barton Butcher","Byron",,"1932-07-27","F","D",,,,,"402159",,,"14608",,,"","",,,false,,,,"12",,,,"2013-04-12 20:11:55 -0400","ocd-division/country:us/state:md/cd:6",,,,"MD","6",false,"2406"
"C000052","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000052.json","Sonny",,"Callahan",,"1932-09-11",,"R",,,,,"400500",,,"15207",,,"","",,,false,,,,"6",,,,"2013-04-12 20:12:00 -0400","ocd-division/country:us/state:al/cd:1",,,,"AL","1",false,"0101"
"C000100","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000100.json","Tom",,"Campbell",,"1952-08-14","M","R",,,,,"400573",,,"15601",,,"","",,,false,,,,"2",,,,"2013-04-12 20:11:59 -0400","ocd-division/country:us/state:ca/cd:12",,,,"CA","12",false,"0612"
"C000077","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000077.json","Ben","Nighthorse","Campbell",,"1933-04-13","M","D",,,,,"300017",,,"15406",,,"","",,,false,,,,"4",,,,"2013-04-12 20:11:59 -0400","ocd-division/country:us/state:co/cd:3",,,,"CO","3",false,"0803"
"C000141","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000141.json","Benjamin","L.","Cardin",,"1943-10-05","M","D",,"SenatorCardin","senatorbencardin","senatorcardin","400064","4004","26888","15408","N00001955","/m/025k3k","","https://www.cardin.senate.gov",,,false,,,,"4",,,,"2019-01-06 15:21:06 -0500","ocd-division/country:us/state:md/cd:3",,,,"MD","3",false,"2403"
"C000174","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000174.json","Thomas","R.","Carper",,"1947-01-23","M","D",,"SenatorCarper","tomcarper","senatorcarper","300019","663","22421","15015","N00012508","/m/01xw7t","","https://www.carper.senate.gov/public","https://www.carper.senate.gov/public/?a=RSS.Feed",,false,,,,"8",,,,"2019-11-18 02:30:22 -0500","ocd-division/country:us/state:de/cd:1",,,,"DE","At-Large",true,"1000"
"C000178","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000178.json","Bob",,"Carr",,"1943-03-27","M","D",,,,,"402325",,,"14210",,,"","",,,false,,,,"14",,,,"2013-04-12 20:11:57 -0400","ocd-division/country:us/state:mi/cd:6",,,,"MI","6",false,"2606"
"C000293","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000293.json","Rodney","Dennis","Chandler",,"1942-07-13",,"R",,,,,"402435",,,"15015",,,"","",,,false,,,,"8",,,,"2013-04-12 20:11:55 -0400","ocd-division/country:us/state:wa/cd:8",,,,"WA","8",false,"5308"
"C000312","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000312.json","Jim",,"Chapman",,"1945-03-08","M","D",,,,,"402454",,,"15242",,,"","",,,false,,,,"6",,,,"2013-04-12 20:11:58 -0400","ocd-division/country:us/state:tx/cd:1",,,,"TX","1",false,"4801"
"C000344","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000344.json","Richard","Bruce","Cheney",,"1941-01-30","M","R",,,,,"402484",,,"14611",,,"","",,,false,,,,"12",,,,"2013-04-12 20:11:54 -0400","ocd-division/country:us/state:wy/cd:1",,,,"WY","At-Large",true,"5600"
"C000462","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000462.json","James","McClure","Clarke",,"1917-06-12","M","D",,,,,"402600",,,"15016",,,"","",,,false,,,,"6",,,,"2013-04-12 20:11:54 -0400","ocd-division/country:us/state:nc/cd:11",,,,"NC","11",false,"3711"
"C000488","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000488.json","William",,"Clay",,"1931-04-30","M","D",,,,,"402626",,,"12009",,,"","",,,false,,,,"22",,,,"2013-04-12 20:12:00 -0400","ocd-division/country:us/state:mo/cd:1",,,,"MO","1",false,"2901"
"C000503","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000503.json","Bob",,"Clement",,"1943-09-23","M","D",,,,,"400548",,,"15449",,,"","",,,false,,,,"4",,,,"2013-04-12 20:12:00 -0400","ocd-division/country:us/state:tn/cd:5",,,,"TN","5",false,"4705"
"C000523","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000523.json","William","F.","Clinger","Jr.","1929-04-04","M","R",,,,,"402657",,,"14612",,,"","",,,false,,,,"12",,,,"2017-11-29 06:35:52 -0500","ocd-division/country:us/state:pa/cd:23",,,,"PA","23",false,"4223"
"C000556","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000556.json","Howard",,"Coble",,"1931-03-18","M","R",,"HowardCoble","HowardCoble6",,"400076","6961",,"15092",,"/m/0263k5","","http://coble.house.gov",,,false,,,,"6",,,,"2016-06-14 16:27:36 -0400","ocd-division/country:us/state:nc/cd:6",,,,"NC","6",false,"3706"
"C000581","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000581.json","Anthony","Lee","Coelho",,"1942-06-15","M","D",,,,,"402710",,,"14613",,,"","",,,false,,,,"12",,,,"2013-04-12 20:11:54 -0400","ocd-division/country:us/state:ca/cd:15",,,,"CA","15",false,"0615"
"C000618","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000618.json","Earl","Thomas","Coleman",,"1943-05-29","M","R",,,,,"402747",,,"14410",,,"","",,,false,,,,"14",,,,"2013-04-12 20:11:55 -0400","ocd-division/country:us/state:mo/cd:6",,,,"MO","6",false,"2906"
"C000621","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000621.json","Ronald","D.","Coleman",,"1941-11-29","M","D",,,,,"402750",,,"15017",,,"","",,,false,,,,"8",,,,"2013-04-12 20:11:58 -0400","ocd-division/country:us/state:tx/cd:16",,,,"TX","16",false,"4816"
"C000634","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000634.json","Cardiss",,"Collins",,"1931-09-24","F","D",,,,,"402763","1965",,"14068",,,"","",,,false,,,,"18",,,,"2013-04-12 20:11:58 -0400","ocd-division/country:us/state:il/cd:7",,,,"IL","7",false,"1707"
"C000653","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000653.json","Larry",,"Combest",,"1945-03-20","M","R",,,,,"400079",,,"15210",,,"","",,,false,,,,"6",,,,"2013-04-12 20:12:01 -0400","ocd-division/country:us/state:tx/cd:19",,,,"TX","19",false,"4819"
"C000670","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000670.json","Gary",,"Condit",,"1948-04-21","M","D",,,,,"400505",,,"15638",,,"","",,,false,,,,"2",,,,"2013-04-12 20:12:00 -0400","ocd-division/country:us/state:ca/cd:15",,,,"CA","15",false,"0615"
"C000709","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000709.json","Silvio","Ottavio","Conte",,"1921-11-09",,"R",,,,,"402833",,,"2009",,,"","",,,false,,,,"32",,,,"2013-04-12 20:11:55 -0400","ocd-division/country:us/state:ma/cd:1",,,,"MA","1",false,"2501"
"C000714","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000714.json","John",,"Conyers","Jr.","1929-05-16","M","D",,"RepJohnConyers","CongressmanConyers","JCMI14","400080","1824","26904","10713","N00004029","/m/02hy5d","","https://conyers.house.gov/",,,false,,,,"26",,,,"2017-11-29 06:35:52 -0500","ocd-division/country:us/state:mi/cd:1",,,,"MI","1",false,"2601"
"C000754","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000754.json","Jim",,"Cooper",,"1954-06-19","M","D",,"RepJimCooper","JimCooper","RepJimCooper","400081","1201","48891","15019","N00003132","/m/03tm2p","","https://cooper.house.gov","https://cooper.house.gov/rss.xml",,false,,,,"8",,,,"2021-03-02 02:35:29 -0500","ocd-division/country:us/state:tn/cd:4",,,,"TN","4",false,"4704"
"C000794","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000794.json","Jerry","F.","Costello",,"1949-09-25","M","D",,"jerrycostello",,,"400082","6352",,"15452",,,"","",,,false,,,,"4",,,,"2016-05-03 15:22:15 -0400","ocd-division/country:us/state:il/cd:21",,,,"IL","21",false,"1721"
"C000807","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000807.json","Robert","Lawrence","Coughlin",,"1929-04-11","M","R",,,,,"402926",,,"12010",,,"","",,,false,,,,"22",,,,"2013-04-12 20:11:55 -0400","ocd-division/country:us/state:pa/cd:13",,,,"PA","13",false,"4213"
"C000809","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000809.json","James","Andrew","Courter",,"1941-10-14","M","R",,,,,"402928",,,"14614",,,"","",,,false,,,,"12",,,,"2013-04-12 20:11:54 -0400","ocd-division/country:us/state:nj/cd:12",,,,"NJ","12",false,"3412"
"C000823","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000823.json","William","Owen","Cowger",,"1922-01-01","M","D",,,,,"402941",,,"11010",,,"","",,,false,,,,"24",,,,"2013-04-12 20:11:44 -0400","ocd-division/country:us/state:al/cd:4",,,,"AL","4",false,"0104"
"C000830","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000830.json","Christopher",,"Cox",,"1952-10-16","M","R",,,,,"400083",,,"15602",,,"","",,,false,,,,"2",,,,"2013-04-12 20:12:02 -0400","ocd-division/country:us/state:ca/cd:40",,,,"CA","40",false,"0640"
"C000846","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000846.json","William","J.","Coyne",,"1936-08-24","M","D",,,,,"400543",,,"14808",,,"","",,,false,,,,"10",,,,"2013-04-12 20:12:00 -0400","ocd-division/country:us/state:pa/cd:14",,,,"PA","14",false,"4214"
"C000858","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000858.json","Larry","E.","Craig",,"1945-07-20","M","R",,,,,"300029",,,"14809",,,"","",,,false,,,,"10",,,,"2013-04-12 20:12:01 -0400","ocd-division/country:us/state:id/cd:1",,,,"ID","1",false,"1601"
"C000873","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000873.json","Philip","M.","Crane",,"1930-11-03","M","R",,,,,"400085",,,"12041",,,"","",,,false,,,,"22",,,,"2013-04-12 20:12:01 -0400","ocd-division/country:us/state:il/cd:12",,,,"IL","12",false,"1712"
"C000919","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000919.json","George","William","Crockett",,"1909-08-10","M","D",,,,,"403031",,,"14681",,,"","",,,false,,,,"12",,,,"2013-04-12 20:11:54 -0400","ocd-division/country:us/state:mi/cd:13",,,,"MI","13",false,"2613"
"D000044","Representative","Rep.","https://api.propublica.org/congress/v1/members/D000044.json","William","Edwin","Dannemeyer",,"1929-09-22","M","R",,,,,"403184",,,"14616",,,"","",,,false,,,,"12",,,,"2013-04-12 20:11:55 -0400","ocd-division/country:us/state:ca/cd:39",,,,"CA","39",false,"0639"
"D000051","Representative","Rep.","https://api.propublica.org/congress/v1/members/D000051.json","George",,"Darden",,"1943-11-22","M","D",,,,,"403190",,,"15084",,,"","",,,false,,,,"8",,,,"2013-04-12 20:11:57 -0400","ocd-division/country:us/state:ga/cd:7",,,,"GA","7",false,"1307"
"D000131","Representative","Rep.","https://api.propublica.org/congress/v1/members/D000131.json","Robert","William","Davis",,"1932-07-31","M","R",,,,,"403266",,,"14618",,,"","",,,false,,,,"12",,,,"2013-04-12 20:11:55 -0400","ocd-division/country:us/state:mi/cd:11",,,,"MI","11",false,"2611"
"D000203","Representative","Rep.","https://api.propublica.org/congress/v1/members/D000203.json","Eligio","'Kiki'","de la Garza",,"1927-09-22","M","D",,,,,"403308",,,"10716",,,"","",,,false,,,,"26",,,,"2013-04-12 20:11:59 -0400","ocd-division/country:us/state:tx/cd:15",,,,"TX","15",false,"4815"
"D000209","Delegate","Del.","https://api.propublica.org/congress/v1/members/D000209.json","Ron",,"de Lugo",,"1930-08-02","M","D",,,,,"403314",,,"14081",,,"","",,,false,,,,"16",,,,"2013-04-12 20:11:58 -0400","ocd-division/country:us/state:vi/cd:79",,,,"VI","At-Large",true,"7898"
